state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school
Tennessee,Fayette,G4700470,15473,24327,38413,10784,26578,37031,62884,63.6042257573889,1
Tennessee,Franklin,G4700510,3551,13848,41052,2109,37260,35216,42096,25.6426920854997,1
Tennessee,Gibson,G4700530,6141,21777,49683,9340,38988,19739,40277,28.1994765119162,1
Tennessee,Giles,G4700550,10848,26166,29485,3012,25480,23825,39600,41.4583811052511,1
Tennessee,Grainger,G4700570,1065,10962,22657,107,21978,4934,30552,9.71538040503558,0
Tennessee,Greene,G4700590,1297,19004,68831,1373,65358,39004,36635,6.82487897284782,0
Tennessee,Hamilton,G4700650,1419,13258,336463,67900,248716,26787,51548,10.702971790617,1
Tennessee,Hardeman,G4700690,7236,17769,27253,11281,15379,29092,35784,40.7226067871011,1
Tennessee,Hardin,G4700710,1623,11214,26026,896,24384,37946,30916,14.4729802033173,1
Tennessee,Hawkins,G4700730,1925,16162,56833,740,54817,42881,35677,11.9106546219527,1
Tennessee,Haywood,G4700750,11026,19232,18787,9465,8617,26094,40241,57.33153078203,1
Tennessee,Henderson,G4700770,3283,14491,27769,2187,24764,34808,39355,22.6554413083983,1
Tennessee,Henry,G4700790,5530,19133,32330,2599,28827,19648,38215,28.9029425599749,1
Tennessee,Hickman,G4700810,1753,9312,24690,1120,22920,12955,42144,18.8251718213058,1
Tennessee,Humphreys,G4700850,1463,9096,18538,463,17629,26417,42250,16.0839929639402,0
Tennessee,Jefferson,G4700890,2096,16043,51407,1048,48571,18159,39008,13.0648881131958,1
Tennessee,Johnson,G4700910,233,5018,18244,378,17544,9297,30293,4.64328417696293,0
Tennessee,Knox,G4700930,2370,22813,432226,38045,369794,23607,49265,10.3888133958708,1
Tennessee,Lauderdale,G4700970,2854,7559,27815,9720,17236,24688,36429,37.7563169731446,1
Tennessee,Lawrence,G4700990,1160,9320,41869,642,40050,22787,35724,12.4463519313305,1
Tennessee,Lewis,G4701010,247,2241,12161,199,11656,3875,35410,11.0218652387327,1
Tennessee,Lincoln,G4701030,6847,22828,33361,2269,29841,24741,44593,29.9938671806553,1
Tennessee,Madison,G4701130,10012,21535,98294,35636,58226,25536,51184,46.4917576039006,1
Tennessee,Marion,G4701150,678,6190,28237,1012,26501,27250,39447,10.9531502423263,0
Tennessee,Marshall,G4701170,4480,14592,30617,2003,27094,19639,44057,30.7017543859649,1
Tennessee,Maury,G4701190,14654,32498,80956,10154,66677,30052,49871,45.0920056618869,1
Tennessee,McMinn,G4701070,1909,13555,52266,2066,47954,28455,38454,14.083364072298,1
Tennessee,McNairy,G4701090,1900,14732,26075,1550,23925,22161,35353,12.8970947597068,1
Tennessee,Meigs,G4701210,638,4667,11753,116,11341,12989,33880,13.6704521105635,1
Tennessee,Monroe,G4701230,1600,12607,44519,926,41661,32713,36433,12.6913619417784,1
Tennessee,Montgomery,G4701250,9554,20895,172331,32982,122336,38176,51744,45.7238573821488,1
Tennessee,Obion,G4701310,2399,12817,31807,3367,27329,24816,42056,18.7173285480222,1
Tennessee,Perry,G4701350,548,6042,7915,119,7584,34342,31479,9.0698444223767,0
Tennessee,Putnam,G4701410,682,8558,72321,1455,66536,22826,35429,7.96915167095116,1
Tennessee,Rhea,G4701430,615,4991,31809,616,29695,30069,36685,12.322179923863,1
Tennessee,Roane,G4701450,1748,13583,54181,1440,51157,26505,43216,12.8690274607966,0
Tennessee,Robertson,G4701470,4861,15265,66283,4934,57919,26400,53071,31.844087782509,1
Tennessee,Rutherford,G4701490,12984,27918,262604,32886,205417,41329,55778,46.5076294863529,1
Tennessee,Sevier,G4701550,538,9122,89889,711,84217,38882,41701,5.89782942337207,1
Tennessee,Shelby,G4701570,16953,48092,927644,483381,376270,32489,63406,35.2511852283124,1
Tennessee,Smith,G4701590,4228,16357,19166,410,18179,38594,43524,25.8482606834994,1
Tennessee,Stewart,G4701610,2415,9896,13324,188,12605,26442,42346,24.4037995149555,0
Tennessee,Sullivan,G4701630,1074,13552,156823,3329,149208,36875,40237,7.92502951593861,1
Tennessee,Sumner,G4701650,7700,22030,160645,10311,142844,41667,55851,34.9523377212892,1
Tennessee,Tipton,G4701670,5288,10705,61081,11449,47501,27293,54963,49.3974778141056,1
Tennessee,Warren,G4701770,2320,11147,39839,1142,35650,28750,35474,20.8127747375976,1
Tennessee,Washington,G4701790,952,14829,122979,4814,112619,25625,42162,6.41985299076135,1
Tennessee,Wayne,G4701810,1269,9115,17021,978,15712,21940,35594,13.9221064179923,1
Tennessee,Weakley,G4701830,4213,18216,35021,2736,31124,17017,35024,23.1280193236715,1
Tennessee,White,G4701850,1145,9381,25841,459,24739,16860,34095,12.2055217993817,1
Tennessee,Williamson,G4701870,12367,23827,183182,7941,163728,65915,89552,51.9033029756159,1
Tennessee,Wilson,G4701890,7964,26072,113993,7297,101379,42594,62013,30.5461798097576,1
Texas,Anderson,G4800010,3668,10398,58458,12310,38632,24146,43121,35.2760146181958,1
Texas,Angelina,G4800050,686,4271,86771,13035,62537,26296,41602,16.0618122219621,1
Texas,Atascosa,G4800130,107,1578,44911,359,38130,16719,44841,6.78073510773131,0
Texas,Austin,G4800150,3914,10139,28417,2668,22379,24167,58518,38.6034125653418,1
